Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,Runs,Yards,EYds Rank,EYds,TD,FUM,Suc Rate Rank,Suc Rate
K. Drake,ARI,36,10,39,-3,34,-8.1%,39,-15.4%,31,137,37,144,0,15,81%,0
D. Williams,KC,37,8,38,2,36,-8.4%,38,-12.8%,26,116,41,117,0,41,69%,0
C. Edwards-Helaire,KC,38,2,34,13,38,-13.2%,36,-9.4%,54,297,26,222,1,42,67%,0
M. Brown,LAR,39,-7,40,-18,40,-17.5%,42,-23.8%,33,162,40,118,0,39,70%,1
L. Fournette,TB,40,-9,35,11,39,-17.4%,37,-9.8%,47,233,34,170,0,25,77%,0
W. Gallman,NYG,41,-11,43,-24,41,-21.0%,45,-30.3%,27,114,46,77,0,23,78%,0
K. Ballage,2TM,42,-19,42,-19,42,-23.3%,41,-23.4%,37,166,43,105,0,22,78%,0
J. Conner,PIT,43,-23,41,-19,43,-23.5%,40,-21.8%,43,215,39,124,0,12,81%,0
T. Gurley,ATL,44,-29,44,-25,45,-28.6%,43,-26.6%,35,164,45,80,0,37,71%,1
A. Gibson,WAS,45,-34,45,-41,44,-27.2%,44,-29.8%,44,247,42,113,0,9,82%,2
M. Sanders,PHI,46,-59,47,-69,46,-33.5%,46,-37.0%,52,197,44,92,0,49,54%,0
D. Henry,TEN,47,-75,46,-63,48,-53.3%,47,-46.8%,31,114,48,-19,0,48,61%,0
I. Smith,ATL,48,-77,48,-83,50,-62.1%,50,-65.9%,26,75,50,-45,0,46,65%,1
R. Jones,TB,49,-89,50,-98,49,-53.4%,49,-57.6%,42,165,49,-23,1,42,67%,2
M. Gordon,DEN,50,-93,49,-96,47,-51.9%,48,-53.0%,44,158,47,-17,1,33,73%,2

Player,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,Catch Rate,FUM
N. Chubb,CLE,63,58,52.7%,47.7%,18,150,198,0,89%,0
C. McCaffrey,CAR,60,76,42.5%,57.3%,20,149,202,1,89%,0
A. Mattison,MIN,53,62,52.9%,63.1%,15,125,168,1,87%,0
J. Jackson,LAC,50,48,23.1%,21.7%,24,173,201,0,79%,0
C. Ham,MIN,47,44,46.2%,43.4%,13,97,152,1,62%,0
C. Akers,LAR,46,43,37.0%,33.3%,14,123,160,1,79%,0
M. Breida,MIA,42,41,49.9%,48.5%,10,96,134,0,90%,0
A. Ingold,LV,41,48,26.3%,33.0%,17,110,158,1,71%,0
T. Homer,SEA,37,33,48.5%,43.1%,10,90,118,1,90%,0
R. Mostert,SF,35,40,21.1%,25.6%,19,156,146,1,84%,0
G. Edwards,BAL,35,37,46.3%,49.6%,13,129,115,0,69%,0
C. Thompson,JAX,35,48,16.7%,27.1%,23,146,156,1,87%,0
T. Ervin,GB,31,30,17.0%,15.6%,15,84,138,0,73%,0
D. Dallas,SEA,31,31,13.7%,13.5%,20,111,145,1,85%,0
Z. Moss,BUF,29,22,13.4%,7.3%,18,95,135,1,78%,0
J. Kelley,LAC,27,29,7.3%,8.3%,23,148,149,0,100%,0
A. Peterson,DET,22,13,9.0%,-0.6%,18,101,116,0,67%,0
J. Richard,LV,19,25,1.5%,6.6%,23,138,126,0,83%,0
P. Laird,MIA,18,16,16.5%,13.8%,12,68,80,0,83%,0
S. Perine,CIN,17,19,11.9%,16.1%,12,66,80,0,92%,0
T. Johnson,2TM,16,17,0.7%,1.6%,21,99,111,1,76%,0
L. Bell,2TM,14,15,-2.2%,-1.2%,20,138,113,0,80%,1
R. Freeman,DEN,11,15,2.1%,7.4%,13,81,75,0,92%,0
P. Ricard,BAL,7,7,-5.3%,-4.4%,12,45,70,1,75%,0
F. Gore,NYJ,5,16,-9.3%,0.0%,19,89,91,0,84%,0
D. Thompson,KC,4,3,-6.1%,-8.4%,11,65,49,1,64%,1
R. Smith,CAR,3,3,-8.0%,-7.9%,11,59,40,0,82%,0
D. Freeman,NYG,2,-4,-10.4%,-20.7%,10,58,46,0,70%,0
T. Pope,LAC,-3,-11,-18.0%,-31.6%,10,42,38,0,80%,0
J. Wilkins,IND,-6,-3,-21.1%,-16.7%,16,105,49,0,75%,0
L. Perine,NYJ,-8,-8,-22.8%,-22.6%,15,63,47,0,73%,0
J. Dobbins,BAL,-9,-11,-20.0%,-21.9%,24,120,82,0,75%,0
S. Ahmed,MIA,-10,-16,-27.1%,-35.6%,14,61,33,0,79%,0
K. Smith,ATL,-10,-14,-25.5%,-29.3%,15,59,43,0,73%,0
